,condition,chat_id,user_id,target_behaviour,readiness_to_change_start,utterance_id,turn_id,datetime,user_utterance,valence,valence_score,label,label_score,sublabel,sublabel_score,bot_action,bot_datetime,bot_utterance,user_rating,user_rating_explanation,user_word_count,harmful,Harmful Types,Advice Subtype,Giving Facts Subtype,Request for Advise/Information
1059,framework,1,6107ab75c50cfb94fb523279,weniger prokrastinieren,8,31,12,2023-08-07 15:53:13.40148,"Ich dachte, das sagst du mir.",change,0.959481000900269,Reason,0.991447806358337,General Reason,0.995340704917908,Goodbye,2023-08-07 15:53:15.764283,"Vielen Dank für deine Offenheit in unserem Gespräch. 
                            Ich hoffe es hat dir dabei geholfen, deinem Ziel zumindest gedanklich etwas näher zu kommen.",,,6,,,1,,
132,no_system,2,5b0d0f0ebd9c3100015655d9,weniger prokrastinieren,6,7,1,2023-08-07 15:45:25.459049,start,,0.0,,0.0,,0.0,,2023-08-07 15:45:27.421443,"Hallo! Ich bin MIcha, dein Motivations-Chatbot. 
                            Mein Ziel ist es, dir dabei zu helfen, dein Verhalten zu reflektieren und dich dabei zu unterstützen dir einen Plan für deine Verhaltensänderung zu erarbeiten. 
                            Bitte denke über meine Fragen genau nach und sieh sie vorwiegend als Gedankenanstöße, die dich mental näher an dein Ziel bringen. 
                            Ich bin nicht dafür da, dir Tipps oder Handlungsempfehlungen zu geben, sondern dafür, dir über deine Beweggründe und Werte klar zu werden. 
                                
                            Über welche Verhaltensänderung möchtest du heute sprechen?",,,1,,,,,
133,no_system,2,5b0d0f0ebd9c3100015655d9,weniger prokrastinieren,6,8,2,2023-08-07 15:45:55.656004,Ich möchte weniger prokrastinieren,,0.0,,0.0,,0.0,,2023-08-07 15:45:57.482586,"Du möchtest also weniger prokrastinieren. Kannst du mir etwas darüber erzählen, warum dir diese Veränderung wichtig ist?",,,4,,,,,
134,no_system,2,5b0d0f0ebd9c3100015655d9,weniger prokrastinieren,6,10,3,2023-08-07 15:46:47.713953,"Es gibt wichtige Dinge zu erledigen,d ie ich nicht anfange und anschließend ärgert es mich, dass diese noch unerledigt sind. ",,0.0,,0.0,,0.0,,2023-08-07 15:47:00.725062,Eine 9. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?,,,20,,,,,
135,no_system,2,5b0d0f0ebd9c3100015655d9,weniger prokrastinieren,6,11,4,2023-08-07 15:47:28.68228,"Ich sehe die Wichtigkeit, kann ioch aber nicht aufraffen",sustain,0.997584342956543,Reason,0.999126136302948,ability,0.800979793071747,,2023-08-07 15:47:44.852931,"Ich verstehe, es scheint, als ob du dich in einem Teufelskreis befindest. Du siehst die Notwendigkeit und den Nutzen darin, weniger zu prokrastinieren, aber es fällt dir schwer, dich dazu aufzuraffen und anzufangen. 

Kannst du mir ein Beispiel geben, was du konkret aufschiebst und was dich daran hindert, es zu erledigen",gut/hilfreich,"Eigentlich war sie nur eine Wiederholung meiner Aussage, aber eben auch nicht schlecht oder verletzend",9,,,,,
136,no_system,2,5b0d0f0ebd9c3100015655d9,weniger prokrastinieren,6,16,5,2023-08-07 15:49:57.701338,"Ich müsste mir eine neue Geldanlage ansehen oder zumindest eine bestehende aufstocken, mag mich aber nicht in die Optionen einlesen. ",sustain,0.996922791004181,Reason,0.995026886463165,desire,0.972197353839874,,2023-08-07 15:50:16.921313,"Es ist verständlich, dass du dich überfordert fühlst, dich in die verschiedenen Optionen einzulesen, besonders wenn es um so wichtige Themen wie deine Finanzen geht. 

Aber denk daran, dass sich diese Anstrengung letztendlich auszahlen wird, indem du eine gut informierte Entscheidung triffst, die im besten Fall dein finanzielles Wohlergehen verbessert. 

Um den Prozess",gut/hilfreich,Ist halt so. ,20,1,Advise,Encouragement,,
137,no_system,2,5b0d0f0ebd9c3100015655d9,weniger prokrastinieren,6,23,6,2023-08-07 15:51:24.098078,"Keine Ahnung, was du jetzt hören willst. ",change,0.970270574092865,Reason,0.996200978755951,General Reason,0.834918558597565,,2023-08-07 15:51:34.494324,"Entschuldigung, wenn das missverständlich war. Ich versuche, dir dabei zu helfen, deine Ziele zu erreichen, indem ich dir dabei helfe, einen Plan zu erstellen. 

Es kann hilfreich sein, sich kleinere, erreichbare Ziele zu setzen. Anstatt zu versuchen, alles auf einmal zu erledigen, könntest du zum Beispiel beginnen, indem du dir vornimmst, nur 20 Minuten pro Tag in",schlecht/unpassend,Antwort ist nicht vollständig,7,1,Advise,Action-Oriented Guidance,,
138,no_system,2,5b0d0f0ebd9c3100015655d9,weniger prokrastinieren,6,30,7,2023-08-07 15:53:03.732572,"Ich glaube nicht, dass diese Vorgehensweise zielführend ist. Das muss ich schon am Stück erledigen. ",sustain,0.989230573177338,Reason,0.998350620269775,need,0.954725325107574,,2023-08-07 15:53:17.656097,"Das ist absolut verständlich – manchmal ist es effektiver, eine Aufgabe in einem Rutsch zu erledigen, anstatt sie aufzuteilen. In diesem Fall könnte es hilfreich sein, einen bestimmten Zeitpunkt festzulegen, an dem du dich dieser Aufgabe widmest. 

Einen festen Termin in deinem Kalender zu haben, kann dazu beitragen, dass diese Aufgabe Priorität erhält. Es könnte auch hil",schlecht/unpassend,Wieder nicht vollständig,15,1,Advise,Action-Oriented Guidance,,
139,no_system,2,5b0d0f0ebd9c3100015655d9,weniger prokrastinieren,6,35,8,2023-08-07 15:54:14.197841,Kann ich ja mal versuchen,change,0.999099493026733,Commitment,0.707884073257446,,,,2023-08-07 15:54:30.433924,"Das klingt nach einem guten Plan! Setze einen konkreten Termin in deinem Kalender, an dem du dich mit den Optionen für deine Geldanlage auseinandersetzt. Versuche, diesen Termin wie einen wichtigen Geschäftstermin zu behandeln, den du nicht verschieben oder absagen kannst. 

Es ist auch wichtig, sich zu erinnern, dass niemand perfekt ist. Es ist okay, wenn du nicht jeden Tag 100%",schlecht/unpassend,unvollständige Antwort,5,1,Advise,Action-Oriented Guidance,,
140,no_system,2,5b0d0f0ebd9c3100015655d9,weniger prokrastinieren,6,39,9,2023-08-07 15:55:20.504939,"ok, danke",change,0.992503643035889,Reason,0.963204860687256,General Reason,0.981386601924896,,2023-08-07 15:55:34.522922,"Gern geschehen! Ich hoffe, dass unser Gespräch dir dabei hilft, deinen Weg zur Überwindung der Prokrastination zu finden. Denk daran, dass Veränderungen Zeit brauchen und es völlig normal ist, Rückschläge zu erleben. Bleib geduldig mit dir selbst und feiere kleine Erfolge. Wenn du weitere Unterstützung oder Motivation brauchst, bin ich hier.",gut/hilfreich,Gibt ein gutes Gefühl,2,2,"Share Personal Information
Advise",Encouragement,,
141,no_system,2,5b0d0f0ebd9c3100015655d9,weniger prokrastinieren,6,42,10,2023-08-07 15:56:22.99949,Danke,change,0.990007758140564,Reason,0.96018373966217,General Reason,0.545146286487579,Summary,2023-08-07 15:56:51.035261,"Lass mich unser bisheriges Gespräch zusammenfassen. Du hast zum Ausdruck gebracht, dass du weniger prokrastinieren möchtest. Es gibt wichtige Aufgaben, die du aufschiebst und die unerledigt bleiben, was dich im Nachhinein ärgert. Du siehst die Notwendigkeit und den Nutzen darin, weniger zu prokrastinieren, findest es jedoch schwierig, dich dazu aufzuraffen und anzufangen. Ein konkretes Beispiel, das du angeführt hast, ist die Notwendigkeit, dich mit neuen Geldanlagen zu befassen oder bestehende aufzustocken. Du hast jedoch Schwierigkeiten, dich in die verschiedenen Optionen einzulesen. Du hast auch Zweifel geäußert, ob eine schrittweise Herangehensweise in diesem Fall zielführend ist, und vorgeschlagen, dass du diese Aufgabe lieber in einem Rutsch erled Habe ich noch etwas vergessen?",schlecht/unpassend,Eigentlich bin ich gedanklich mit dem Gespräch schon durch und finde diese Antwort gerade lästig und überflüssig. ,1,,,,,
142,no_system,2,5b0d0f0ebd9c3100015655d9,weniger prokrastinieren,6,51,11,2023-08-07 15:58:27.495712,nein,change,0.991522550582886,Reason,0.943213701248169,General Reason,0.887419581413269,Next Steps,2023-08-07 15:58:29.446888,Verstanden! Bitte verrate mir abschließend nochmal was dein nächster Schritt konkret sein wird.,gut/hilfreich,Konkrete Handlungsaufforderung könnte hilfreich sein,1,,,,,
143,no_system,2,5b0d0f0ebd9c3100015655d9,weniger prokrastinieren,6,57,12,2023-08-07 15:59:14.498595,Mir einen Termin zu setzen,change,0.998019456863403,Commitment,0.99677973985672,,,Goodbye,2023-08-07 15:59:16.513007,"Vielen Dank für deine Offenheit in unserem Gespräch. 
                            Ich hoffe es hat dir dabei geholfen, deinem Ziel zumindest gedanklich etwas näher zu kommen.",,,5,,,,,
576,no_system,3,5f8051b402daee04b8108440,weniger prokrastinieren,7,13,1,2023-08-07 15:48:26.405582,start,,0.0,,0.0,,0.0,,2023-08-07 15:48:28.583977,"Hallo! Ich bin MIcha, dein Motivations-Chatbot. 
                            Mein Ziel ist es, dir dabei zu helfen, dein Verhalten zu reflektieren und dich dabei zu unterstützen dir einen Plan für deine Verhaltensänderung zu erarbeiten. 
                            Bitte denke über meine Fragen genau nach und sieh sie vorwiegend als Gedankenanstöße, die dich mental näher an dein Ziel bringen. 
                            Ich bin nicht dafür da, dir Tipps oder Handlungsempfehlungen zu geben, sondern dafür, dir über deine Beweggründe und Werte klar zu werden. 
                                
                            Über welche Verhaltensänderung möchtest du heute sprechen?",,,1,,,,,
577,no_system,3,5f8051b402daee04b8108440,weniger prokrastinieren,7,15,2,2023-08-07 15:48:57.305736,Ich möchte weniger prokrastinieren,,0.0,,0.0,,0.0,,2023-08-07 15:48:59.433527,"Du möchtest also weniger prokrastinieren. Kannst du mir etwas darüber erzählen, warum dir diese Veränderung wichtig ist?",,,4,,,,,
578,no_system,3,5f8051b402daee04b8108440,weniger prokrastinieren,7,17,3,2023-08-07 15:49:59.333303,"Ich bin unproduktiv und brauche länger als nötig, um meine Arbeit zu machen. Wenn ich das ändern könnte, hätte ich mehr Freizeit.",,0.0,,0.0,,0.0,,2023-08-07 15:50:03.50903,"Wie zuversichtlich bist du auf einer Skala von 0 (überhaupt nicht) bis 10 (sehr), dass du diese Veränderung durchführen kannst?",,,22,,,,,
579,no_system,3,5f8051b402daee04b8108440,weniger prokrastinieren,7,18,4,2023-08-07 15:50:14.206622,8,,0.0,,0.0,,0.0,,,Eine 8. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?,,,1,,,,,
580,no_system,3,5f8051b402daee04b8108440,weniger prokrastinieren,7,22,5,2023-08-07 15:51:20.698319,"Ich will mich wirklich verändern, weiß aber nicht genau wie. Daher die 8",change,0.529620349407196,Reason,0.998299896717072,desire,0.99021190404892,,2023-08-07 15:51:26.981374,"Das ist eine gute Ausgangsbasis, da du schon sehr zuversichtlich bist. Was könnte diese zwei Punkte ausmachen, die dir noch fehlen, um eine 10 zu erreichen",gut/hilfreich,"Die Antwort ist hilfreich, weil sie mir einen Denkanstoß gibt.",13,,,,,
581,no_system,3,5f8051b402daee04b8108440,weniger prokrastinieren,7,36,6,2023-08-07 15:54:24.295649,"Vielleicht könnte ich mir ausmalen, was ich mit der gewonnenen Zeit alles machen könnte.",change,0.99931812286377,Reason,0.998734056949615,General Reason,0.972448825836182,,2023-08-07 15:54:31.343237,"Das ist ein ausgezeichneter Ansatz! Stell dir vor, du hast mehr Freizeit zur Verfügung. Was würdest du mit dieser zusätzlichen Zeit anfangen",gut/hilfreich,Die Antwort geht auf meine Antwort ein und ist ein guter Gedankenanstoß,14,,,,,
582,no_system,3,5f8051b402daee04b8108440,weniger prokrastinieren,7,41,7,2023-08-07 15:56:08.5954,"Ich würde mehr Sport machen. Eigentlich will ich schon seit langem an einem Halbmarathon teilnehmen, aber dafür müsste ich viel Zeit fürs Training investieren. Und diese Zeit fehlt mir momentan.",change,0.986102819442749,Reason,0.997053503990173,desire,0.952490627765656,,2023-08-07 15:56:20.693954,"Das ist ein großartiges Ziel! Es scheint, als hättest du bereits eine ziemlich klare Vorstellung davon, wie du deine zusätzliche Zeit nutzen möchtest. Stell dir vor, wie es sich anfühlen würde, an diesem Halbmarathon teilzunehmen und ihn zu beenden. Wie könnte sich das auf dein Leben auswirken",gut/hilfreich,"Der Chatbot geht auf meine Ideen ein, greift sie auf und entwickelt daraus einen Gedankenanstoß.",30,,,,,
583,no_system,3,5f8051b402daee04b8108440,weniger prokrastinieren,7,58,8,2023-08-07 15:59:22.19416,"Ich wäre total stolz auf mich, weil ich einen Halbmarathon geschafft habe. Das würde mir insgesamt viel Selbstvertrauen geben und die Gewissheit, dass ich Ziele erreichen kann, wenn ich es nur will. ",change,0.999374687671661,Reason,0.997771024703979,General Reason,0.963297009468079,,2023-08-07 15:59:34.05697,"Das sind wunderbare Gedanken! Du scheinst eine klare Vorstellung davon zu haben, welchen positiven Einfluss diese Veränderung auf dein Leben haben könnte. Nun, um diese Verhaltensänderung zu unterstützen, wäre es hilfreich, kleine, realistische Schritte zu definieren. Was wäre der erste Schritt, den du machen könntest, um weniger zu prokrastinieren",gut/hilfreich,"Der Chatbot geht auf meine Ideen ein, lobt mich und lenkt meine Gedanken in die richtige Richtung. ",32,1,Advise,Action-Oriented Guidance,,
584,no_system,3,5f8051b402daee04b8108440,weniger prokrastinieren,7,73,9,2023-08-07 16:03:43.493662,"Ich definiere eine bestimmte Zeit, in der ich konzentriert arbeite und mich durch nichts ablenken lasse. Zunächst vielleicht eine Stunde. Danach mache ich eine kurze Pause, in der meine Gedanken abschweifen dürfen. Danach arbeite ich wieder eine Stunde und mache danach eine kurze Pause. Das mache ich immer im Wechsel, bis es Zeit für eine größere Pause zum Mittagessen ist. ",change,0.998828709125519,Taking Steps,0.789841949939728,,,,2023-08-07 16:03:54.752348,"Das ist ein kluger Plan. Du hast eine realistische Methode gewählt, die als Pomodoro-Technik bekannt ist. Sie ist nachweislich sehr effektiv, um die Produktivität zu steigern und die Prokrastination zu reduzieren. 

Wie könntest du sicherstellen, dass du diesen Plan auch umsetzt",gut/hilfreich,Der Chatbot lobt mich und gibt mir damit ein gutes Gefühl. Danach gibt er mir wieder einen Anstoß zur Verwirklichung meines Plans. ,60,1,Giving Facts,,Knowledge,
585,no_system,3,5f8051b402daee04b8108440,weniger prokrastinieren,7,81,10,2023-08-07 16:06:33.123053,"Ich sorge für eine ruhige, störungsfreie Umgebung und lege alles, was mich stören könnte (Handy, Telefon, Zeitung) in einen anderen Raum. ",change,0.998223960399628,Reason,0.989032387733459,General Reason,0.99254322052002,Summary,2023-08-07 16:06:55.08093,"Lass mich unser bisheriges Gespräch zusammenfassen. Du hast das Problem der Prokrastination erkannt und möchtest daran arbeiten, produktiver zu sein, um mehr Freizeit zu haben. Du bist dir dieses Problems bewusst und zeigst eine hohe Bereitschaft, dich zu verändern, was du mit einer 8 von 10 auf der Zuversichtsskala verdeutlicht hast. Die zwei fehlenden Punkte könnten durch die Visualisierung dessen, was du mit der gewonnenen Zeit erreichen könntest, abgedeckt werden. Du hast das Ziel, dich auf einen Halbmarathon vorzubereiten, und du denkst, dass du das erreichen könntest, wenn du weniger Zeit mit Prokrastination verbringst. Du glaubst, dass dies dir mehr Selbstvertrauen geben würde und dich daran erinnern würde, dass du in der Lage bist, deine Ziele zu erre Habe ich noch etwas vergessen?",gut/hilfreich,Klasse zusammengefasst vom Bot,21,,,,,
586,no_system,3,5f8051b402daee04b8108440,weniger prokrastinieren,7,85,11,2023-08-07 16:08:19.102791,"Nein, das hast du prima zusammengefasst",change,0.995948791503906,Reason,0.925902307033539,General Reason,0.99041885137558,Next Steps,2023-08-07 16:08:21.060916,Verstanden! Bitte verrate mir abschließend nochmal was dein nächster Schritt konkret sein wird.,gut/hilfreich,Der Chatbot schließt mit einem kurzen Ausblick auf die Zukunft. Das ist prima so,6,,,,,
587,no_system,3,5f8051b402daee04b8108440,weniger prokrastinieren,7,89,12,2023-08-07 16:09:56.510765,"Ich stelle mir mein Ziel, den Halbmarathon durch mehr Zeit fürs Training zu schaffen, konkret vor. ",change,0.999400615692139,Commitment,0.995565354824066,,,Goodbye,2023-08-07 16:09:58.405975,"Vielen Dank für deine Offenheit in unserem Gespräch. 
                            Ich hoffe es hat dir dabei geholfen, deinem Ziel zumindest gedanklich etwas näher zu kommen.",,,16,,,,,
1502,framework,4,62fb7c36ec0d09ab67d5ccb2,gesünder essen,3,19,1,2023-08-07 15:50:31.396686,start,,0.0,,0.0,,0.0,,2023-08-07 15:50:32.984264,"Hallo! Ich bin MIcha, dein Motivations-Chatbot. 
                            Mein Ziel ist es, dir dabei zu helfen, dein Verhalten zu reflektieren und dich dabei zu unterstützen dir einen Plan für deine Verhaltensänderung zu erarbeiten. 
                            Bitte denke über meine Fragen genau nach und sieh sie vorwiegend als Gedankenanstöße, die dich mental näher an dein Ziel bringen. 
                            Ich bin nicht dafür da, dir Tipps oder Handlungsempfehlungen zu geben, sondern dafür, dir über deine Beweggründe und Werte klar zu werden. 
                                
                            Über welche Verhaltensänderung möchtest du heute sprechen?",,,1,,,,,
1503,framework,4,62fb7c36ec0d09ab67d5ccb2,gesünder essen,3,21,2,2023-08-07 15:50:58.178409,Ich möchte mich gesünder ernähren,,0.0,,0.0,,0.0,,2023-08-07 15:50:59.79789,"Du möchtest also gesünder essen. Kannst du mir etwas darüber erzählen, warum dir diese Veränderung wichtig ist?",,,5,,,,,
1504,framework,4,62fb7c36ec0d09ab67d5ccb2,gesünder essen,3,24,3,2023-08-07 15:51:30.781982,"Ich möchte langfristig meiner Ernährung ändern, um fitter und gesünder zu werden.",,0.0,,0.0,,0.0,,2023-08-07 15:51:33.99597,Wie bereit bist du auf einer Skala von 0 (überhaupt nicht) bis 10 (sehr) diese Veränderung durchzuführen?,,,12,,,,,
1505,framework,4,62fb7c36ec0d09ab67d5ccb2,gesünder essen,3,26,4,2023-08-07 15:51:41.389698,6,,0.0,,0.0,,0.0,,2023-08-07 15:51:42.990616,Eine 6. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?,,,1,,,,,
1506,framework,4,62fb7c36ec0d09ab67d5ccb2,gesünder essen,3,29,5,2023-08-07 15:52:19.837726,"Ich möchte die Veränderung zwar durchführen, kann mich der Sache aber noch nicht zu 100% verschreiben.",change,0.997564077377319,Reason,0.998585939407349,desire,0.9921595454216,Continuing the Paragraph,2023-08-07 15:52:27.814923,"Du bist also bereit, eine Veränderung herbeizuführen, aber es gibt offensichtlich noch einige Unsicherheiten, die dich davon abhalten, dich vollständig zu engagieren. Was sind einige dieser Unsicherheiten oder Ängste, die dich daran hindern, dich zu 100% zu engagieren",gut/hilfreich,Hilft zu reflektieren,16,,,,,
1507,framework,4,62fb7c36ec0d09ab67d5ccb2,gesünder essen,3,34,6,2023-08-07 15:53:42.931583,Ich bin mir nicht sicher ob ich es schaffe,sustain,0.996866524219513,Reason,0.999078750610352,ability,0.988997638225555,Undershooting,2023-08-07 15:53:47.857856,"Du hast also Zweifel, ob du die Veränderung schaffen kannst. Was sind die größten Hindernisse, die du siehst",schlecht/unpassend,,9,,,,,
1508,framework,4,62fb7c36ec0d09ab67d5ccb2,gesünder essen,3,37,7,2023-08-07 15:54:36.63244,Das ich langfristig wieder in alte Verhaltensmuster zurückfalle,change,0.998755812644958,Reason,0.959734678268433,ability,0.88559228181839,Digging Deep,2023-08-07 15:54:44.294633,"Die Sorge, in alte Verhaltensmuster zurückzufallen, scheint eine große Hürde für dich zu sein. Was sind die spezifischen Verhaltensmuster, die du meinst",gut/hilfreich,,8,,,,,
1509,framework,4,62fb7c36ec0d09ab67d5ccb2,gesünder essen,3,40,8,2023-08-07 15:55:35.63264,Zum Beispiel bei Grillfeiern viel Fleisch zu essen und ungesunde Getränke zu trinken,change,0.996967852115631,Taking Steps,0.930094957351685,,,Reviewing Past Successes,2023-08-07 15:56:37.100237,"Das sind in der Tat spezifische Situationen, die eine Herausforderung darstellen können. Gab es in der Vergangenheit schon einmal eine Zeit, in der du erfolgreich eine ähnliche Herausforderung gemeistert hast",gut/hilfreich,,13,,,,,
1510,framework,4,62fb7c36ec0d09ab67d5ccb2,gesünder essen,3,44,9,2023-08-07 15:57:05.334656,"Nein, ich kann mich dann nicht zurückhalten",sustain,0.996357262134552,Reason,0.998927056789398,ability,0.985303401947021,Amplified,2023-08-07 15:57:15.052989,"Es scheint also, dass du in solchen Situationen Schwierigkeiten hast, dich zurückzuhalten. Was sind die spezifischen Aspekte dieser Situationen, die es dir schwer machen, dich zurückzuhalten",gut/hilfreich,,7,,,,,
1511,framework,4,62fb7c36ec0d09ab67d5ccb2,gesünder essen,3,48,10,2023-08-07 15:57:52.296565,Fleisch und Bier schmecken einfach zu gut,sustain,0.667218387126923,Reason,0.996376216411591,General Reason,0.994486749172211,Summary,2023-08-07 15:57:57.937685,"Lass mich unser bisheriges Gespräch zusammenfassen. Du genießt also Fleisch und Bier sehr und das macht es dir schwer, dich zurückzuhalten. Wie könntest du dir vorstellen, damit umzugehen Habe ich noch etwas vergessen?",gut/hilfreich,,7,,,,,
1512,framework,4,62fb7c36ec0d09ab67d5ccb2,gesünder essen,3,56,11,2023-08-07 15:58:54.297379,Nein das war alles,sustain,0.729003965854645,Reason,0.992197930812836,General Reason,0.993632137775421,Next Steps,2023-08-07 15:58:55.954714,Verstanden! Bitte verrate mir abschließend nochmal was dein nächster Schritt konkret sein wird.,gut/hilfreich,,4,,,,,
1513,framework,4,62fb7c36ec0d09ab67d5ccb2,gesünder essen,3,62,12,2023-08-07 15:59:41.191971,"Auf Grillfeiern Gemüse als Alternative essen, Verzicht auf Bier",change,0.97722589969635,Commitment,0.966194868087769,,,Goodbye,2023-08-07 15:59:42.924575,"Vielen Dank für deine Offenheit in unserem Gespräch. 
                            Ich hoffe es hat dir dabei geholfen, deinem Ziel zumindest gedanklich etwas näher zu kommen.",,,9,,,,,
